molecule,bond_length,method,energy_hartree,delta_hartree,chemical_accuracy,converged,source
H2,0.5,FCI,-1.1884595209700293,0.0,True,True,synthetic
H2,0.5,UCCSD,-1.1884595170433951,3.9266341289589946e-09,True,True,synthetic
H2,0.5,EfficientSU2,-1.1884594663190855,5.465094377044011e-08,True,True,synthetic
H2,0.6,FCI,-1.006835743658604,0.0,True,True,synthetic
H2,0.6,UCCSD,-1.0068356880857958,5.55728081330642e-08,True,True,synthetic
H2,0.6,EfficientSU2,-1.006835464994429,2.7866417484645467e-07,True,True,synthetic
H2,0.7,FCI,-0.874727293108993,0.0,True,True,synthetic
H2,0.7,UCCSD,-0.8747272385444925,5.4564500473475164e-08,True,True,synthetic
H2,0.7,EfficientSU2,-0.8747270576749232,2.3543406979520398e-07,True,True,synthetic
H2,0.8,FCI,-0.7741471707043199,0.0,True,True,synthetic
H2,0.8,UCCSD,-0.774147092431233,7.827308690089296e-08,True,True,synthetic
H2,0.8,EfficientSU2,-0.7741470077647397,1.6293958027269184e-07,True,True,synthetic
H2,0.9,FCI,-0.6949143008765727,0.0,True,True,synthetic
H2,0.9,UCCSD,-0.6949141777081781,1.2316839459458606e-07,True,True,synthetic
H2,0.9,EfficientSU2,-0.6949140129542425,2.87922330199919e-07,True,True,synthetic
H2,1.0,FCI,-0.6308237234452485,0.0,True,True,synthetic
H2,1.0,UCCSD,-0.6308235819799464,1.4146530213920983e-07,True,True,synthetic
H2,1.0,EfficientSU2,-0.630823126919978,5.965252705131263e-07,True,True,synthetic
H2,1.1,FCI,-0.5778734426397816,0.0,True,True,synthetic
H2,1.1,UCCSD,-0.577873127836737,3.1480304452102814e-07,True,True,synthetic
H2,1.1,EfficientSU2,-0.5778731808544089,2.617853727127084e-07,True,True,synthetic
H2,1.2,FCI,-0.5333639569472137,0.0,True,True,synthetic
H2,1.2,UCCSD,-0.5333633940349193,5.629122944439402e-07,True,True,synthetic
H2,1.2,EfficientSU2,-0.5333635711444795,3.8580273420407707e-07,True,True,synthetic
H2,1.3,FCI,-0.4954068275794369,0.0,True,True,synthetic
H2,1.3,UCCSD,-0.49540676354920143,6.403023544709896e-08,True,True,synthetic
H2,1.3,EfficientSU2,-0.4954062571997315,5.703797053557835e-07,True,True,synthetic
H2,1.4,FCI,-0.46264052025876473,0.0,True,True,synthetic
H2,1.4,UCCSD,-0.46264033894625783,1.8131250689723544e-07,True,True,synthetic
H2,1.4,EfficientSU2,-0.46263973662054164,7.836382230896888e-07,True,True,synthetic
H2,1.5,FCI,-0.43405810398326133,0.0,True,True,synthetic
H2,1.5,UCCSD,-0.43405777316514177,3.30818119564924e-07,True,True,synthetic
H2,1.5,EfficientSU2,-0.43405709699149314,1.0069917681931884e-06,True,True,synthetic
H2,1.6,FCI,-0.40889853546689925,0.0,True,True,synthetic
H2,1.6,UCCSD,-0.4088980390800221,4.963868771579172e-07,True,True,synthetic
H2,1.6,EfficientSU2,-0.4088980778649439,4.576019553281796e-07,True,True,synthetic
H2,1.7,FCI,-0.3865757041293775,0.0,True,True,synthetic
H2,1.7,UCCSD,-0.3865750361837972,6.679455802904855e-07,True,True,synthetic
H2,1.7,EfficientSU2,-0.3865751297941601,5.743352173848137e-07,True,True,synthetic
H2,1.8,FCI,-0.36663075352013536,0.0,True,True,synthetic
H2,1.8,UCCSD,-0.36663072487226006,2.864787529421875e-08,True,True,synthetic
H2,1.8,EfficientSU2,-0.36663066484588264,8.867425271841256e-08,True,True,synthetic
H2,1.9,FCI,-0.3486992207596101,0.0,True,True,synthetic
H2,1.9,UCCSD,-0.34869920779603364,1.2963576434543711e-08,True,True,synthetic
H2,1.9,EfficientSU2,-0.3486987565525757,4.642070343674476e-07,True,True,synthetic
H2,2.0,FCI,-0.33248787846472905,0.0,True,True,synthetic
H2,2.0,UCCSD,-0.33248786544586406,1.3018864986058531e-08,True,True,synthetic
H2,2.0,EfficientSU2,-0.3324878545125248,2.3952204220023532e-08,True,True,synthetic
H2,2.1,FCI,-0.3177580890725066,0.0,True,True,synthetic
H2,2.1,UCCSD,-0.3177578295869846,2.5948552195842467e-07,True,True,synthetic
H2,2.1,EfficientSU2,-0.3177580890239695,4.853706325746998e-11,True,True,synthetic
H2,2.2,FCI,-0.3043136276243438,0.0,True,True,synthetic
H2,2.2,UCCSD,-0.3043136119127722,1.5711571599297258e-08,True,True,synthetic
H2,2.2,EfficientSU2,-0.30431360008371733,2.754062644605426e-08,True,True,synthetic
H2,2.3,FCI,-0.291991631506973,0.0,True,True,synthetic
H2,2.3,UCCSD,-0.2919916100792063,2.1427766672132975e-08,True,True,synthetic
H2,2.3,EfficientSU2,-0.29199146686798055,1.6463899243923663e-07,True,True,synthetic
H2,2.4,FCI,-0.280655777473123,0.0,True,True,synthetic
H2,2.4,UCCSD,-0.28065575729751013,2.017561284706204e-08,True,True,synthetic
H2,2.4,EfficientSU2,-0.2806555989345412,1.7853858180760795e-07,True,True,synthetic
H2,2.5,FCI,-0.27019107072830084,0.0,True,True,synthetic
H2,2.5,UCCSD,-0.27019055341163495,5.173166658933859e-07,True,True,synthetic
H2,2.5,EfficientSU2,-0.2701907205971232,3.501311776621385e-07,True,True,synthetic
