molecule,bond_length,method,energy_hartree,delta_hartree,chemical_accuracy,converged,source
H2,0.5,FCI,-1.1884595209700355,0.0,True,True,synthetic
H2,0.5,UCCSD,-1.1884592017039055,3.19266129977791e-07,True,True,synthetic
H2,0.5,EfficientSU2,-1.1884591226593217,3.9831071374507587e-07,True,True,synthetic
H2,0.6,FCI,-1.0068357436586037,0.0,True,True,synthetic
H2,0.6,UCCSD,-1.0068355579540382,1.8570456550293102e-07,True,True,synthetic
H2,0.6,EfficientSU2,-1.0068355228977672,2.2076083650013345e-07,True,True,synthetic
H2,0.7,FCI,-0.8747272931089934,0.0,True,True,synthetic
H2,0.7,UCCSD,-0.8747270657191454,2.2738984806203177e-07,True,True,synthetic
H2,0.7,EfficientSU2,-0.8747272406519703,5.245702316969414e-08,True,True,synthetic
H2,0.8,FCI,-0.7741471707043226,0.0,True,True,synthetic
H2,0.8,UCCSD,-0.7741470869850289,8.371929371975284e-08,True,True,synthetic
H2,0.8,EfficientSU2,-0.7741468101014899,3.6060283270522575e-07,True,True,synthetic
H2,0.9,FCI,-0.6949143008765705,0.0,True,True,synthetic
H2,0.9,UCCSD,-0.6949139943717612,3.065048093109368e-07,True,True,synthetic
H2,0.9,EfficientSU2,-0.6949141572091236,1.43667446828033e-07,True,True,synthetic
H2,1.0,FCI,-0.6308237234452478,0.0,True,True,synthetic
H2,1.0,UCCSD,-0.6308237206627076,2.782540198253969e-09,True,True,synthetic
H2,1.0,EfficientSU2,-0.6308233656110136,3.578342342436258e-07,True,True,synthetic
H2,1.1,FCI,-0.577873442639782,0.0,True,True,synthetic
H2,1.1,UCCSD,-0.5778733403113196,1.0232846237023807e-07,True,True,synthetic
H2,1.1,EfficientSU2,-0.5778727699989354,6.726408465773659e-07,True,True,synthetic
H2,1.2,FCI,-0.5333639569472142,0.0,True,True,synthetic
H2,1.2,UCCSD,-0.5333636604505007,2.9649671351439366e-07,True,True,synthetic
H2,1.2,EfficientSU2,-0.5333637170953954,2.398518187396448e-07,True,True,synthetic
H2,1.3,FCI,-0.49540682757943755,0.0,True,True,synthetic
H2,1.3,UCCSD,-0.49540629175274153,5.35826696013153e-07,True,True,synthetic
H2,1.3,EfficientSU2,-0.4954063819258451,4.45653592473505e-07,True,True,synthetic
H2,1.4,FCI,-0.4626405202587642,0.0,True,True,synthetic
H2,1.4,UCCSD,-0.4626404262693515,9.398941269722627e-08,True,True,synthetic
H2,1.4,EfficientSU2,-0.46263984390829965,6.76350464523523e-07,True,True,synthetic
H2,1.5,FCI,-0.4340581039832622,0.0,True,True,synthetic
H2,1.5,UCCSD,-0.43405791407899846,1.8990426375875558e-07,True,True,synthetic
H2,1.5,EfficientSU2,-0.43405718976831803,9.142149441920822e-07,True,True,synthetic
H2,1.6,FCI,-0.4088985354668997,0.0,True,True,synthetic
H2,1.6,UCCSD,-0.4088982229430058,3.1252389387503854e-07,True,True,synthetic
H2,1.6,EfficientSU2,-0.40889738642312146,1.14904377823688e-06,True,True,synthetic
H2,1.7,FCI,-0.3865757041293765,0.0,True,True,synthetic
H2,1.7,UCCSD,-0.3865752547035012,4.494258752929525e-07,True,True,synthetic
H2,1.7,EfficientSU2,-0.38657517369453487,5.304348416057536e-07,True,True,synthetic
H2,1.8,FCI,-0.3666307535201349,0.0,True,True,synthetic
H2,1.8,UCCSD,-0.3666302743906403,4.791294946349112e-07,True,True,synthetic
H2,1.8,EfficientSU2,-0.36663057388380055,1.796363343631313e-07,True,True,synthetic
H2,1.9,FCI,-0.34869922075960996,0.0,True,True,synthetic
H2,1.9,UCCSD,-0.3486992093434506,1.1416159351185229e-08,True,True,synthetic
H2,1.9,EfficientSU2,-0.34869909231609025,1.2844351970908718e-07,True,True,synthetic
H2,2.0,FCI,-0.3324878784647297,0.0,True,True,synthetic
H2,2.0,UCCSD,-0.33248784120433994,3.72603897735857e-08,True,True,synthetic
H2,2.0,EfficientSU2,-0.3324878751982645,3.266465209428304e-09,True,True,synthetic
H2,2.1,FCI,-0.31775808907250713,0.0,True,True,synthetic
H2,2.1,UCCSD,-0.3177580554931354,3.357937172765446e-08,True,True,synthetic
H2,2.1,EfficientSU2,-0.31775787038313064,2.186893764966058e-07,True,True,synthetic
H2,2.2,FCI,-0.30431362762434433,0.0,True,True,synthetic
H2,2.2,UCCSD,-0.3043136021564984,2.5467845943261125e-08,True,True,synthetic
H2,2.2,EfficientSU2,-0.3043133622537054,2.6537063890774704e-07,True,True,synthetic
H2,2.3,FCI,-0.2919916315069722,0.0,True,True,synthetic
H2,2.3,UCCSD,-0.29199163063851,8.68462191050412e-10,True,True,synthetic
H2,2.3,EfficientSU2,-0.2919914358182171,1.9568875508912953e-07,True,True,synthetic
H2,2.4,FCI,-0.28065577747312287,0.0,True,True,synthetic
H2,2.4,UCCSD,-0.2806556907212625,8.675186036199989e-08,True,True,synthetic
H2,2.4,EfficientSU2,-0.2806555649064766,2.1256664628488409e-07,True,True,synthetic
H2,2.5,FCI,-0.2701910707283015,0.0,True,True,synthetic
H2,2.5,UCCSD,-0.27019071428304453,3.564452569770893e-07,True,True,synthetic
H2,2.5,EfficientSU2,-0.27019106996800657,7.602949381180224e-10,True,True,synthetic
