molecule,bond_length,method,energy_hartree,delta_hartree,chemical_accuracy,converged,source
H2,0.5,FCI,-1.1884595209700346,0.0,True,True,synthetic
H2,0.5,UCCSD,-1.1884594645061393,5.646389533708884e-08,True,True,synthetic
H2,0.5,EfficientSU2,-1.1884595207079438,2.6209079351247055e-10,True,True,synthetic
H2,0.6,FCI,-1.0068357436586048,0.0,True,True,synthetic
H2,0.6,UCCSD,-1.0068356826376959,6.102090899240409e-08,True,True,synthetic
H2,0.6,EfficientSU2,-1.0068356362516417,1.0740696310129749e-07,True,True,synthetic
H2,0.7,FCI,-0.8747272931089914,0.0,True,True,synthetic
H2,0.7,UCCSD,-0.8747272279341162,6.51748752744652e-08,True,True,synthetic
H2,0.7,EfficientSU2,-0.8747270478361434,2.452728480317745e-07,True,True,synthetic
H2,0.8,FCI,-0.7741471707043219,0.0,True,True,synthetic
H2,0.8,UCCSD,-0.7741471160147897,5.4689532236196214e-08,True,True,synthetic
H2,0.8,EfficientSU2,-0.774147085553113,8.515120897278905e-08,True,True,synthetic
H2,0.9,FCI,-0.6949143008765714,0.0,True,True,synthetic
H2,0.9,UCCSD,-0.6949139327551636,3.681214078010697e-07,True,True,synthetic
H2,0.9,EfficientSU2,-0.6949139840604334,3.168161379907275e-07,True,True,synthetic
H2,1.0,FCI,-0.6308237234452492,0.0,True,True,synthetic
H2,1.0,UCCSD,-0.6308236265202538,9.692499536306798e-08,True,True,synthetic
H2,1.0,EfficientSU2,-0.6308230228623599,7.005828892570065e-07,True,True,synthetic
H2,1.1,FCI,-0.5778734426397816,0.0,True,True,synthetic
H2,1.1,UCCSD,-0.5778732964640163,1.4617576526987364e-07,True,True,synthetic
H2,1.1,EfficientSU2,-0.5778732141223135,2.285174680594082e-07,True,True,synthetic
H2,1.2,FCI,-0.533363956947214,0.0,True,True,synthetic
H2,1.2,UCCSD,-0.5333636548676046,3.0207960932671085e-07,True,True,synthetic
H2,1.2,EfficientSU2,-0.533363517943097,4.390041169477499e-07,True,True,synthetic
H2,1.3,FCI,-0.49540682757943866,0.0,True,True,synthetic
H2,1.3,UCCSD,-0.495406315744249,5.118351896760132e-07,True,True,synthetic
H2,1.3,EfficientSU2,-0.4954061376108154,6.899686232353375e-07,True,True,synthetic
H2,1.4,FCI,-0.4626405202587644,0.0,True,True,synthetic
H2,1.4,UCCSD,-0.4626404408009424,7.945782198870432e-08,True,True,synthetic
H2,1.4,EfficientSU2,-0.46263956544572066,9.548130437408986e-07,True,True,synthetic
H2,1.5,FCI,-0.43405810398326244,0.0,True,True,synthetic
H2,1.5,UCCSD,-0.434057915458868,1.8852439442884616e-07,True,True,synthetic
H2,1.5,EfficientSU2,-0.43405768978883813,4.1419442431411824e-07,True,True,synthetic
H2,1.6,FCI,-0.4088985354669006,0.0,True,True,synthetic
H2,1.6,UCCSD,-0.40889821362361856,3.218432820251138e-07,True,True,synthetic
H2,1.6,EfficientSU2,-0.408897960377397,5.750895035738779e-07,True,True,synthetic
H2,1.7,FCI,-0.3865757041293769,0.0,True,True,synthetic
H2,1.7,UCCSD,-0.3865752366078913,4.6752148563644624e-07,True,True,synthetic
H2,1.7,EfficientSU2,-0.3865749616386399,7.424907370046085e-07,True,True,synthetic
H2,1.8,FCI,-0.3666307535201338,0.0,True,True,synthetic
H2,1.8,UCCSD,-0.36663050104453104,2.524756027577624e-07,True,True,synthetic
H2,1.8,EfficientSU2,-0.36663072590001994,2.7620113862703022e-08,True,True,synthetic
H2,1.9,FCI,-0.34869922075960963,0.0,True,True,synthetic
H2,1.9,UCCSD,-0.34869917101367504,4.9745934593836694e-08,True,True,synthetic
H2,1.9,EfficientSU2,-0.3486991932073115,2.7552298109689843e-08,True,True,synthetic
H2,2.0,FCI,-0.33248787846473027,0.0,True,True,synthetic
H2,2.0,UCCSD,-0.3324877585165499,1.1994818038818522e-07,True,True,synthetic
H2,2.0,EfficientSU2,-0.33248778464685613,9.381787413609288e-08,True,True,synthetic
H2,2.1,FCI,-0.31775808907250713,0.0,True,True,synthetic
H2,2.1,UCCSD,-0.3177580525366598,3.653584734752968e-08,True,True,synthetic
H2,2.1,EfficientSU2,-0.3177579935334429,9.553906421544411e-08,True,True,synthetic
H2,2.2,FCI,-0.3043136276243442,0.0,True,True,synthetic
H2,2.2,UCCSD,-0.30431332839645164,2.992278925750824e-07,True,True,synthetic
H2,2.2,EfficientSU2,-0.30431326717126517,3.6045307905130386e-07,True,True,synthetic
H2,2.3,FCI,-0.29199163150697244,0.0,True,True,synthetic
H2,2.3,UCCSD,-0.29199153278037077,9.872660167165037e-08,True,True,synthetic
H2,2.3,EfficientSU2,-0.29199122151722096,4.0998975148198724e-07,True,True,synthetic
H2,2.4,FCI,-0.28065577747312287,0.0,True,True,synthetic
H2,2.4,UCCSD,-0.28065561284686635,1.6462625651580964e-07,True,True,synthetic
H2,2.4,EfficientSU2,-0.2806554461649742,3.3130814869331005e-07,True,True,synthetic
H2,2.5,FCI,-0.2701910707283011,0.0,True,True,synthetic
H2,2.5,UCCSD,-0.27019102028924946,5.0439051657580336e-08,True,True,synthetic
H2,2.5,EfficientSU2,-0.2701910627465093,7.98179183858494e-09,True,True,synthetic
